readyFrame:5
currentTime:44386.188656
count:43
x y response
291 127 62
345 119 52
247 174 44
334 119 33
314 115 29
57 65 29
58 63 27
374 123 23
254 37 23
112 19 23
295 230 22
326 122 20
51 168 16
255 39 16
257 274 15
136 175 15
54 58 14
310 121 14
327 118 14
249 234 12
57 56 11
77 232 11
134 175 11
53 60 11
250 274 10
284 246 10
369 130 10
198 184 10
252 184 10
232 235 10
103 23 10
250 43 10
286 251 9
288 130 9
74 232 9
247 40 9
290 246 8
248 242 8
311 112 8
184 231 8
355 119 8
99 46 8
288 242 8
